address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
King Saud Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,", International, Vegan Options, Vegetarian Friendly", International,"King Saud Road, Al Khobar 31952 Saudi Arabia",101,+ Add hours,1 of 29 International in Al Khobar,966 13 829 4444, 140 -  230, Kempinski Al Othman Hotel,5.0 
Prince Musaed Street Dughaither Leisure Island, Al Khobar Saudi Arabia,Eastern_Province,", Seafood, International, Mediterranean", Seafood,"Prince Musaed Street Dughaither Leisure Island, Al Khobar Saudi Arabia",916,Closed Now:See all hours,1 of 20 Seafood in Al Khobar,966 3 894 4227,, Al-Sanbok Seafood Restaurant,4.5 
Prince Musaid Street, 34425 Al Khobar,Eastern_Province,", Japanese, Sushi, Asian", Japanese,"Prince Musaid Street, 34425 Al Khobar, Al Khobar Saudi Arabia",59,+ Add hours,1 of 11 Japanese in Al Khobar,971 54 342 9074, 160 -  165, Taki Restaurant,5.0 
King Saud Road Kempinski Al Othman Hotel, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Italian, Pizza, Romana", Italian,"King Saud Road Kempinski Al Othman Hotel, Al Khobar 31952 Saudi Arabia",56,Closed Now:See all hours,1 of 31 Italian in Al Khobar,966 13 829 4207, 75 -  180, il Vero,5.0 
Fouad Center _ Corniche Street, Al Khobar Saudi Arabia,Eastern_Province,"  , American, Steakhouse, Vegetarian Friendly", American,"Fouad Center _ Corniche Street, Al Khobar Saudi Arabia",331,+ Add hours,1 of 40 American in Al Khobar,966 13 894 5755,, Outback Steakhouse,4.0 
Al Shati 3rd St Al Danah Rd Fanateer Cornich, Block 3,Eastern_Province,"  , Brazilian, Barbecue, Grill", Brazilian,"Al Shati 3rd St Al Danah Rd Fanateer Cornich, Block 3, Lot No.15, Al Jubail 35814 Saudi Arabia",116,Closed Now:See all hours,1 of 1 Brazilian in Al Jubail,966 13 367 0104,, Brasa De Brazil,4.5 
Prince Turkey Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Italian, Pizza, European", Italian,"Prince Turkey Road, Al Khobar 31952 Saudi Arabia",355,Closed Now:See all hours,2 of 31 Italian in Al Khobar,966 13 894 4842,, Piatto Restaurant - Al Khobar,4.0 
2/F Le Meridien Al Khobar, Corniche Road,Eastern_Province,", Japanese, Sushi, Asian", Japanese,"2/F Le Meridien Al Khobar, Corniche Road, Al Khobar 31952 Saudi Arabia",119,Closed Now:See all hours,2 of 11 Japanese in Al Khobar,966 13 896 9000,, Fusion Seafood & Sushi,4.5 
King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia,Eastern_Province,", Seafood, Mediterranean, European", Seafood,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",194,Closed Now:See all hours,3 of 20 Seafood in Al Khobar,966 13 898 8840 ext. 3400,, Primavera Restaurant,4.5 
Jubail Corniche, Al Jubail 11373 Saudi Arabia,Eastern_Province,"  , American, Steakhouse, Vegetarian Friendly", American,"Jubail Corniche, Al Jubail 11373 Saudi Arabia",222,Closed Now:See all hours,1 of 6 American in Al Jubail,966 13 347 2333,, Steak House,4.0 
Prince Musaed Street Cross 10, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Italian, Pizza, Mediterranean", Italian,"Prince Musaed Street Cross 10, Al Khobar 31952 Saudi Arabia",300,Closed Now:See all hours,3 of 31 Italian in Al Khobar,966 9200 07000, 30 -  150, La Gondola Restaurant,4.0 
